ocr_line_num,ocr_text,ref_line_num,ref_text,similarity
58,perque fluie gran sanc entro quela feni,1558,E aprop cura aquel am l ' autra curacio entro que sia sana .,0.5252525252525253
59,na cazec morta entre las mas delu. e ui,3106,dias o entro a dos meses .,0.49230769230769234
60,un autre metge que pres que el tragne,379,De cauterizacio de pes e de las coyssas .,0.46153846153846156
61,ra una peyra din home lequal auia pro,140,E fay aquo segon aquel meteys orde le qual ja he dit .,0.46153846153846156
62,desit en sa etat ela perra era gran. e uen,2348,De inscizio extremitatz e de la serratura de los osses .,0.4897959183673469
63,guet alu etrayssec aquela peyra am un,71,sobre le loc e leyssa aquel per tres jorns .,0.5185185185185185
64,Etros dela uesiqua perque aquel home,1062,"Mays si endigeys de curacio que exsique , usa de aquela .",0.4731182795698925
65,Raltertz dia es moit. e yeu ia apelat fuy a,216,E aprop pren de sabo conogut e de caus viva ana unc .,0.4583333333333333
66,estrayra aquela eui que per la grandesa,1751,E aprop cura aquel entro que la plagua sia sanada .,0.5333333333333333
67,dela peyra. eperla disposias del malaute,3484,De la curacio de la dislocacio de lo talo .,0.5542168674698795
68,rier dela scien,1363,De seccio de las specias de nodes .,0.48
69,conogui sobre lu que morira. ¶ 2,1998,De extraccio de lo fet quan es mort .,0.43478260869565216
70,ui un autre metge lequal prema stipendie,1233,aquel le metge am la sua ma .,0.4927536231884058
71,de unduc deuostra tenra per cyrurgia. e,2441,De extraccio venae cruris .,0.5454545454545454
72,endeuen a un crastrat negre lequal era,893,E aquesta figura es letra greca : la landa .,0.4878048780487805
73,deues lu fractura enla coyssa delu. eper,3162,De restauracio de fractura de lo os de la coyssa .,0.5333333333333333
74,parec le metge auila suaIgnorancia es,1024,E sia le liament segon la sua disposicio entro a lo tertz dia .,0.44
75,treyssec la fractura sobre la plagua aui,3193,De restauracio de la fractura de la camba .,0.6024096385542169
76,puluinas. eastelas ain fort strectura. e,3144,"dias , o fort leu es restaurada en .",0.4473684210526316
77,no layssec ala plagua espiracio. e aprop,1343,E layssa la plagua uberta per alcun temps .,0.5542168674698795
78,l desliet segons los sieus desiriers. e ap,1953,Eyssiment de lo fet sobre les sieus denols e las suas mas .,0.5148514851485149
79,cia de nlediciñ,1519,De curacio de ydropici .,0.5
80,le relieg. e aprop le leyssec per alscus iorus,1439,De seccio de apostemas que accideysso per arceria o per vena .,0.5
81,e comandec que no deslies leliament. e,945,De colleccio de sabel en le huel .,0.5
82,estec ayssi entio quela coyssa el pe foro,1939,E preme le ventre de la femna entro que deyssenda le fet .,0.48484848484848486
83,apostematz. eperuenguet aperdicio. e yeu,1457,de lo apostema le qual accideys per torcio de nervis .,0.46808510638297873
84,fuy apelat alu e aparelhegui adesliar le,13,"E yeu fuy apelat a lu , e aparelhegui a desliar le liament , e conseguida es tranquilitat e enayssi amermet de sas dolors .",0.49079754601226994
85,liauient. e conseguida es tranquilitat,2112,E aprop cura la plagua entro que sia consolidada e sanada .,0.4536082474226804
86,c en ayssĩ amermet de sas dolors. mays,1290,; e las specias de lor so motas .,0.4722222222222222
87,empero ia corrupcio era confermada i,991,De curacio de alconati .,0.5
88,en le membre perque no pogui iefienai,1486,", e aprop cauteriza aquel per que no retorne .",0.4578313253012048
89,aquela eno cessec per ambular la cor,177,E fay aquel suzar en banh en degu per alcus jorns .,0.5057471264367817
90,per le complimĩt,314,per que son les cauteris .,0.4186046511627907
91,mpcio enle membre entro quel malau,3131,E considera le membre el liament aprop alcus dias .,0.5176470588235295
92,te peric. ¶ Sui un autre met,1992,", e una autra .",0.46511627906976744
93,ge lequal per forec una postenia caucros,335,De perforacio de apostema de lo fietge am cauteri .,0.5054945054945055
94,efo uloerat aprop alscus dias entro que,825,E aprop cura aquel entro que sia sanat .,0.5316455696202531
95,foc magnificada la malicia delu amn lo,1297,entro a la linha de .,0.4745762711864407
96,senhor delu laqual causa es quar le crãc,208,E aprop igneys le cauteri de lo qual aquesta es la forma de lu .,0.49523809523809526
97,Ecant es pur de humor melencolie la,163,De cauterizacio de melencolia .,0.5757575757575758
98,horas no coue que peruengua alu ain,413,Aprop igneys le cauteri que es semblant a ray .,0.4634146341463415
99,ferr de tot. sino que sia an uembre le,2145,De forma de los instrumentz que so aministratz a dar cristeri .,0.4752475247524752
100,Nqual sufferces que detot fos hostat in,2081,De curacio de las fistulas que endeveno dejos .,0.4418604651162791
